GPP Account Number,GPP Client Name,Place of Settlement,Sub Custodian BIC,Beneficiary BIC,Security Account,Additional Information
GPP003288,BOF Assets Limited - CASS,AUSTRALIA - Austraclear Limited - ACLRAU2S,CITIAU3X,IRVTUS3NIBK,2068030107,Bonds: CITI35PSET: ACLRAU2S
GPP003288,BOF Assets Limited - CASS,AUSTRALIA - Clearing House Electronic Subregister System (CHESS) - CAETAU21,CITIAU3X,IRVTUS3NIBK,2068030107,CHESSEquities: 20018PSET: CAETAU21
GPP003288,BOF Assets Limited - CASS,AUSTRIA - Oesterreichische Kontrollbank AG (OeKB) - OCSDATWWXXX,BKAUATWWXXX,IRVTUS3NIBK,51010009291,CSD ID: OCSD222100
GPP003288,BOF Assets Limited - CASS,BELGIUM -  Belgium (National Bank of Belgium) - NBBEBEBB216,IRVTBEBBDCP,IRVTBEBBDCP,NBBEIRVTBEBBDCP0000008,PSET: NBBEBEBB216
GPP003288,BOF Assets Limited - CASS,BELGIUM - Belgium (Euronext) - CIKBBEBBXXX,IRVTBEBBDCP,IRVTBEBBDCP,CIKBIRVTBEBBDCP000LM065,PSET: CIKBBEBBXXX
GPP003288,BOF Assets Limited - CASS,CANADA - The Canadian Depository for Securities Limited  - CDSLCATT,CMTYCATTXXX,IRVTUS3NIBK,672938,CSD ID: CMTC
GPP003288,BOF Assets Limited - CASS,DENMARK - VP A/S - the Danish Securities Centre - VPDKDKKKXXX,ESSEDKKKXXX,IRVTUS3NIBK,5295242452,
GPP003288,BOF Assets Limited - CASS,ESTONIA - Estonian CSD - LCDELV22XXX,EEUHEE2XXXX,IRVTUS3NIBK,99103714893,
GPP003288,BOF Assets Limited - CASS,EUROCLEAR - Euroclear Bank - MGTCBEBE,MGTCBEBEECL,IRVTUS3NIBK,47711,
GPP003288,BOF Assets Limited - CASS,FINLAND - Finnish Central Securities Depository Ltd (APK) - APKEFIHHXXX,ESSEFIHXXXX,IRVTUS3NIBK,10-100 302 263,
GPP003288,BOF Assets Limited - CASS,FRANCE - Euroclear France (Ex Sicovam) - SICVFRPPXXX,IRVTBEBBDCP,IRVTBEBBDCP,SICVIRVTBEBBDCP000LM065,
GPP003288,BOF Assets Limited - CASS,GERMANY - Clearstream Banking Frankfurt - DAKVDEFFXXX,IRVTBEBBDCP,IRVTBEBBDCP,DAKV7297000,
GPP003288,BOF Assets Limited - CASS,GREECE - Bank of Greece - BNGRGRAASSS,CITIGRAAXXX,IRVTUS3NIBK,819614,PSET: BNGRGRAAXXX
GPP003288,BOF Assets Limited - CASS,GREECE - Central Securities Depository S.A. (CSD) - HCSDGRAAXXX,CITIGRAAXXX,IRVTUS3NIBK,819614,PSET: HCSDGRAAXXX
GPP003288,BOF Assets Limited - CASS,HONG KONG - Central Moneymarkets Unit (CMU) Hong Kong Monetary Authority - HKMAHKHC,CITIHKHX,IRVTUS3NIBK,5005670057,"Bonds
CCASS# - CIHK
PSET - HKMAHKHC
"
GPP003288,BOF Assets Limited - CASS,HONG KONG - Hongkong Securities Clearing Company Limited  (Hongkong Clearing) - XHKCHKH1,CITIHKHX,IRVTUS3NIBK,5005670057,"Equities
CCASS# - C00010
PSET - XHKCHKH1
"
GPP003288,BOF Assets Limited - CASS,INDONESIA - PT Kustodian Sentral Efek Indonesia (KSEI) - KSEIIDJA,DEUTIDJA,IRVTUS3NIBK,2039927480,
GPP003288,BOF Assets Limited - CASS,ITALY - Monte Titoli spa - MOTIITMM,IRVTBEBBDCP,IRVTBEBBDCP,MOTIIRVTBEBBDCP6068400,CSD ID: 60684
GPP003288,BOF Assets Limited - CASS,JAPAN - Japan Securities Depository Centre (Jasdec) - JJSDJPJT,BOTKJPJT,IRVTUS3NIBK,100337532,CSD ID :0000580NO Govt Securities
GPP003288,BOF Assets Limited - CASS,KAZAKHSTAN - The Central Depository of Securities (Kazakhstan) - CEDUKZKA,CITIKZKA,IRVTUS3NIBK,1150281701,PSET: CEDUKZKA
GPP003288,BOF Assets Limited - CASS,LATVIA - Latvijas Centralais Depozitarijs - LCDELV22XXX,UNLALV2XXXX,IRVTUS3NIBK,VPLV002407CL,
GPP003288,BOF Assets Limited - CASS,MEXICO - S.D. INDEVAL S.A. DE C.V. (INDEVAL)  - INDEMXMM,BSMXMXMMXXX,IRVTUS3NIBK,1033420,"CSD ID : 021016806
"
GPP003288,BOF Assets Limited - CASS,NORWAY - Verdipapirsentralen (VPS) - VPSNNOKK,ESSENOKX,IRVTUS3NIBK,97500267857,CSD ID: 09750
GPP003288,BOF Assets Limited - CASS,PORTUGAL - Interbolsa - IBLSPTPP,CITIPTPXXXX,IRVTUS3NIBK,7001933798,CSD ID Equities: IBLSCITIPTPXXXXSA000000005280000054CSD ID Bonds: IBLSCITIPTPXXXXSA000000005280000062
GPP003288,BOF Assets Limited - CASS,SINGAPORE - The Central Depository (Pte) Limited (CDP) - CDPLSGSG,DBSSSGSGIBD,IRVTUS3NIBK,SG0333300186,Equities/Corp Bonds: 561PSET CDPLSGSGGovt Bonds: 7171PSET MASGSGSM
